Country;value.x;value.y
Australia;3.363640;4.205
Austria;2.982406;3.490
Belgium;3.846275;2.694
Canada;4.534581;3.376
Chile;5.041481;5.027
Czech Republic;1.401605;1.850
Denmark;4.616333;NA
Estonia;3.296818;3.507
Finland;4.922516;3.314
France;4.725799;2.202
Germany;1.981525;2.848
Greece;15.651299;1.351
Hungary;1.465232;1.308
Iceland;1.658764;3.430
Ireland;3.740826;3.051
Israel;3.096472;2.401
Italy;6.146841;1.511
Japan;2.184996;1.658
Korea;3.508609;2.928
Latvia;3.563873;3.178
Lithuania;2.725681;3.368
Luxembourg;3.760349;1.237
Mexico;3.789973;4.242
Netherlands;2.750728;3.624
New Zealand;2.167560;5.486
Norway;2.273977;4.009
Poland;2.155407;2.928
Portugal;5.713344;1.854
Slovak Republic;3.636245;3.074
Slovenia;5.404609;2.044
Spain;9.348282;2.185
Sweden;3.873691;3.791
Switzerland;3.815023;3.939
Turkey;9.536528;4.311
United Kingdom;2.294930;3.162
United States;2.537012;3.512
