"COUNTRY","Country","ISC11A","ISCED 2011 A education level","SEX","Gender","AGE","Age","FIELD","Field","MEASURE","Measure","INDICATOR","INDICATOR","YEAR","Reference year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",3.8462749,,
"MEX","Mexico","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",0.10755698,,
"FRA","France","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",0.07838867,,
"DNK","Denmark","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",0.15449375,,
"KOR","Korea","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",3.5086088,,
"POL","Poland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",2.1554067,,
"NOR","Norway","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",2.2739775,,
"ISL","Iceland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",1.6587635,,
"NZL","New Zealand","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",0.18894428,,
"DEU","Germany","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",0.04271886,,
"TUR","Turkey","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",9.5365276,,
"CHL","Chile","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2015","2015",0.14479549,,
"CAN","Canada","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",4.5345812,,
"PRT","Portugal","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",5.7133436,,
"GRC","Greece","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",15.651299,,
"AUT","Austria","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",0.10181715,,
"FIN","Finland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",4.9225159,,
"NLD","Netherlands","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",2.7507279,,
"ESP","Spain","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",9.3482819,,
"SVK","Slovak Republic","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",0.40119383,,
"NZL","New Zealand","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2017","2017",2.1675596,,
